comment_id,note_id,user_id,user_name,content,likes,comment_time,ip_location,sub_comment_count,parent_comment_id,parent_comment_content,parent_user_name,reply_to_comment_id,reply_to_content,reply_to_user_name,imported_at
6762e5c4000000001102eb48,6762e419000000001300a685,5716438a4775a714b19770da,鱼忙日记~,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,1215,2024-12-18 23:09:56,陕西,12,,,,,,,2026-04-08 14:23:37
6762eb73000000000e0101d1,6762e419000000001300a685,6645718e0000000007005ffc,东东外的美丽泼妇,那就是妈妈,543,2024-12-18 23:34:11,云南,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
6762eaf0000000001102fcac,6762e419000000001300a685,55fabd0041a2b323eae5d65c,我不是一只鹤,@程砚秋DM @Tina澜征 @柠檬小丸子 @.林靖蒽,2,2024-12-18 23:32:00,天津,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
6763d5e2000000001200ae58,6762e419000000001300a685,61ab4d2d000000001000edfe,co0O,你理解的很对，所以权利在谁手里？,22,2024-12-19 16:14:27,四川,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
676bdfee000000001101aff3,6762e419000000001300a685,5481bb99d6e4a96901ed67d4,大猫咪的浮生手记🐱 🎈,一家之主不止权利 更是责任和义务吧,33,2024-12-25 18:35:26,上海,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
676e202200000000120086df,6762e419000000001300a685,5a166e4411be101685c65913,西表山猫,[哭惹R]是的 那就是妈妈,20,2024-12-27 11:33:54,浙江,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762eb73000000000e0101d1,那就是妈妈,东东外的美丽泼妇,2026-04-08 14:23:37
676f63f1000000000e0136b3,6762e419000000001300a685,656f1730000000001c018014,我爱喝绿茶,封建大家长制，所有人依附在一家之主生活,4,2024-12-28 10:35:29,陕西,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
67724396000000000e00f9f9,6762e419000000001300a685,5eddb14f0000000001002a10,顾野雪,家里没有爸爸可能短暂的没钱，但是没有妈妈天就塌了，没妈妈这家早晚得散,8,2024-12-30 14:54:14,辽宁,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
67757e660000000011031145,6762e419000000001300a685,629042ee0000000021022600,YH,天呐[哭惹R][哭惹R][哭惹R]你说的太对了,0,2025-01-02 01:41:58,河北,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762eb73000000000e0101d1,那就是妈妈,东东外的美丽泼妇,2026-04-08 14:23:37
67786c6f000000000f038786,6762e419000000001300a685,5bfbeaf28086b80001418e76,西瓜🍉,@胖c胖y,0,2025-01-04 07:02:08,山东,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,67724396000000000e00f9f9,家里没有爸爸可能短暂的没钱，但是没有妈妈天就塌了，没妈妈这家早晚得散,顾野雪,2026-04-08 14:23:37
6779e93f000000000e00d166,6762e419000000001300a685,5baf6f9361192e0001760e71,🌝🌝,对啊拥有权利的同时应该负起责任,1,2025-01-05 10:06:55,辽宁,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
6996ab14000000000b03602a,6762e419000000001300a685,6113d8480000000001003564,羊粑粑,一家之主意味着拍板和担责,0,2026-02-19 14:17:56,福建,0,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,6762e5c4000000001102eb48,我理解的一家之主不是全家都听一家之主的话，应该是一个家的顶梁柱，是家的坚固的存在,鱼忙日记~,2026-04-08 14:23:37
